player_id,overall,potential,club_team_id,league_name,nationality_name,st,lw,cf,rw,cam,lm,cm,rm,lwb,cdm,rwb,lb,cb,rb,gk,alternative_positions
231747,91,94,73.0,Ligue 1,France,93,91,91,91,92,92,84,92,71,66,71,66,57,66,21,['LW']
239085,91,94,10.0,Premier League,Norway,93,82,86,82,85,82,77,82,65,66,65,63,65,63,22,[]
192985,91,91,10.0,Premier League,Belgium,86,87,88,87,91,91,91,91,82,83,82,78,73,78,24,['CAM']
158023,90,90,112893.0,Major League Soccer,Argentina,88,90,89,90,90,90,88,90,67,66,67,62,52,62,22,['CAM']
165153,90,90,607.0,Pro League,France,90,86,89,86,90,89,85,89,67,67,67,63,58,63,21,['ST']
188545,90,90,241.0,La Liga,Poland,90,85,88,85,89,87,83,87,68,69,68,64,64,64,22,[]
192119,90,90,243.0,La Liga,Belgium,35,30,31,30,35,34,36,34,32,34,32,32,32,32,90,[]
202126,90,90,21.0,Bundesliga,England,90,84,87,84,89,88,86,88,70,72,70,67,66,67,23,[]
238794,89,94,243.0,La Liga,Brazil,85,88,86,88,89,89,81,89,65,61,65,60,48,60,19,[]
212831,89,90,9.0,Premier League,Brazil,42,39,42,39,48,45,49,45,37,42,37,36,36,36,90,[]
231866,89,90,10.0,Premier League,Spain,80,76,79,76,83,81,88,81,83,90,83,83,87,83,22,['CM']
239818,89,90,10.0,Premier League,Portugal,64,60,61,60,65,67,73,67,81,86,81,83,90,83,21,[]
190871,89,89,605.0,Pro League,Brazil,85,88,88,88,89,89,85,89,69,66,69,64,53,64,23,[]
192448,89,89,241.0,La Liga,Germany,38,35,38,35,45,42,48,42,36,44,36,34,36,34,89,[]
200145,89,89,11.0,Premier League,Brazil,81,74,77,74,80,79,85,79,85,89,85,86,89,86,24,[]
203376,89,89,9.0,Premier League,Netherlands,73,67,69,67,73,73,78,73,82,87,82,84,89,84,23,[]
209331,89,89,9.0,Premier League,Egypt,88,88,87,88,89,89,85,89,74,71,74,70,61,70,25,[]
239053,88,92,243.0,La Liga,Uruguay,85,85,85,85,89,88,90,88,87,88,87,86,83,86,21,['RW']
232293,88,91,48.0,Serie A,Nigeria,90,82,85,82,84,83,76,83,65,63,65,63,60,63,22,[]
210257,88,89,10.0,Premier League,Brazil,42,41,43,41,50,48,52,48,41,47,41,39,38,39,89,[]
212622,88,89,21.0,Bundesliga,Germany,80,82,81,82,86,86,89,86,87,89,87,86,84,86,24,"['RB', 'CM']"
194765,88,88,240.0,La Liga,France,88,87,88,87,88,88,88,88,78,77,78,76,71,76,24,['CF']
200389,88,88,240.0,La Liga,Slovenia,35,32,34,32,40,37,42,37,35,40,35,35,37,35,88,[]
212198,88,88,11.0,Premier League,Portugal,85,85,85,85,88,88,88,88,82,84,82,80,76,80,24,['CM']
218667,88,88,10.0,Premier League,Portugal,81,85,84,85,88,88,88,88,83,83,83,79,73,79,22,['RW']
222665,87,90,1.0,Premier League,Norway,82,84,84,84,89,87,87,87,78,78,78,74,67,74,23,['CM']
228702,87,90,241.0,La Liga,Netherlands,81,83,82,83,88,88,89,88,86,87,86,85,81,85,21,['CDM']
230621,87,90,73.0,Ligue 1,Italy,37,34,36,34,41,38,40,38,34,37,34,33,34,33,88,[]
231478,87,90,44.0,Serie A,Argentina,89,82,84,82,85,83,79,83,67,69,67,65,65,65,21,[]
235073,87,90,22.0,Bundesliga,Switzerland,36,32,35,32,39,37,39,37,32,36,32,31,33,31,88,[]
215698,87,89,47.0,Serie A,France,42,39,42,39,49,46,51,46,40,46,40,38,38,38,88,[]
207865,87,88,73.0,Ligue 1,Brazil,75,73,73,73,77,79,82,79,85,88,85,87,88,87,20,[]
167495,87,87,21.0,Bundesliga,Germany,42,39,42,39,50,46,53,46,38,46,38,36,37,36,87,[]
177003,87,87,243.0,La Liga,Croatia,79,83,82,83,87,87,87,87,84,84,84,81,74,81,22,[]
200104,87,87,18.0,Premier League,Korea Republic,87,86,86,86,87,87,81,87,70,66,70,66,57,66,22,[]
256790,86,93,21.0,Bundesliga,Germany,80,84,84,84,88,86,84,86,78,76,78,76,68,76,20,"['CM', 'LM']"
247635,86,92,48.0,Serie A,Georgia,82,85,84,85,87,86,81,86,68,65,68,63,56,63,21,['RW']
251854,86,92,241.0,La Liga,Spain,78,82,81,82,87,86,88,86,81,82,81,79,74,79,20,[]
241721,86,91,47.0,Serie A,Portugal,84,85,84,85,85,85,75,85,62,57,62,58,49,58,21,"['CF', 'ST']"
252371,86,91,243.0,La Liga,England,83,82,83,82,87,86,88,86,84,86,84,83,82,83,21,['CAM']
253163,86,91,241.0,La Liga,Uruguay,69,64,64,64,67,69,71,69,80,82,80,82,88,82,22,['RB']
246669,86,90,1.0,Premier League,England,80,85,83,85,86,86,82,86,77,74,77,74,66,74,20,['RM']
235243,86,89,21.0,Bundesliga,Netherlands,71,63,65,63,68,68,73,68,79,83,79,81,88,81,22,[]
240130,86,89,243.0,La Liga,Brazil,71,69,69,69,72,75,76,75,84,84,84,86,88,86,23,[]
241096,86,89,13.0,Premier League,Italy,81,80,80,80,84,84,85,84,86,87,86,86,85,86,20,['CM']
224232,86,88,44.0,Serie A,Italy,81,83,82,83,87,86,88,86,86,87,86,85,81,85,22,[]
231281,86,88,9.0,Premier League,England,78,80,79,80,85,86,88,86,87,86,87,86,81,86,22,[]
232411,86,88,5.0,Premier League,France,84,85,85,85,88,88,85,88,78,76,78,75,69,75,20,"['CAM', 'ST']"
231443,86,87,73.0,Ligue 1,France,80,85,83,85,86,87,79,87,68,62,68,63,51,63,20,['LW']
20801,86,86,112139.0,Pro League,Portugal,86,81,83,81,84,83,78,83,62,60,62,59,55,59,22,[]
182521,86,86,243.0,La Liga,Germany,79,79,80,79,85,83,86,83,79,83,79,76,74,76,21,['CDM']
186153,86,86,45.0,Serie A,Poland,34,28,31,28,35,34,36,34,31,34,31,31,32,31,86,[]
186942,86,86,241.0,La Liga,Germany,81,82,83,82,86,85,86,85,80,83,80,78,76,78,22,['CDM']
189513,86,86,483.0,La Liga,Spain,79,79,80,79,85,82,86,82,79,82,79,76,74,76,19,['CDM']
204485,86,86,112387.0,Pro League,Algeria,82,85,84,85,86,86,81,86,67,64,67,62,52,62,22,['RW']
208722,86,86,112139.0,Pro League,Senegal,86,84,85,84,86,86,81,86,69,67,69,66,61,66,22,"['LM', 'ST']"
210514,86,86,241.0,La Liga,Portugal,81,83,82,83,86,86,86,86,86,85,86,86,81,86,22,['RB']
211110,86,86,52.0,Serie A,Argentina,84,86,85,86,86,86,84,86,69,66,69,64,54,64,17,['CAM']
